-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,161,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,181,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1
-1,122,-1,-1,201,202,-1,-1,-1,-1,-1,122,-1,-1,161,162,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,122,-1,-1,-1,-1,-1,-1,-1,181,182,-1,-1,122,-1
100,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,202,-1,-1,-1,-1
-1,161,162,-1,-1,-1,-1,120,-1,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,-1
-1,181,182,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,201,202,-1,121,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,122,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,-1,-1,-1,-1,100
122,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,161,162,-1
-1,-1,100,-1,-1,161,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,181,182,-1
-1,-1,-1,122,-1,181,182,-1,-1,-1,-1,-1,-1,122,-1,-1,-1,201,202,-1
-1,120,-1,-1,-1,201,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
